bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,is_suspicious
3316,6711,2024-04-25T15:15:40Z,2024-04-25T15:30:14Z,38.6.26.192,US,HTTP,301,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T15:15:40Z,None,0
12888,3262,2024-04-25T07:25:50Z,2024-04-25T07:48:33Z,215.141.115.40,DE,SSH,404,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T07:25:50Z,None,0
17168,5104,2024-04-25T16:33:24Z,2024-04-25T16:34:37Z,18.127.58.233,US,SMTP,404,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T16:33:24Z,None,0
2859,12124,2024-04-25T03:57:11Z,2024-04-25T04:31:53Z,156.67.42.252,DE,HTTP,500,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T03:57:11Z,None,0
888,5579,2024-04-25T01:28:06Z,2024-04-25T01:44:39Z,103.180.118.98,JP,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T01:28:06Z,None,0
5238,11776,2024-04-26T00:50:00Z,2024-04-26T01:00:00Z,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:50:00Z,waf_rule,1
1378,727,2024-04-25T21:29:40Z,2024-04-25T22:22:30Z,124.91.183.195,FR,SSH,500,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T21:29:40Z,None,0
1945,15518,2024-04-25T15:43:14Z,2024-04-25T16:37:18Z,138.28.83.124,BR,SMTP,404,25,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T15:43:14Z,None,0
29,29330,2024-04-25T10:28:09Z,2024-04-25T10:31:26Z,191.21.217.240,US,HTTPS,301,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T10:28:09Z,None,0
501,11417,2024-04-25T03:29:23Z,2024-04-25T04:02:23Z,202.52.29.27,BR,HTTP,200,80,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T03:29:23Z,None,0
15238,5594,2024-04-25T17:15:40Z,2024-04-25T17:34:20Z,151.33.193.21,GB,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T17:15:40Z,None,0
7994,5754,2024-04-26T09:00:00Z,2024-04-26T09:10:00Z,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T09:00:00Z,waf_rule,1
4821,3466,2024-04-25T00:29:02Z,2024-04-25T00:56:25Z,100.226.107.254,US,HTTPS,200,443,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T00:29:02Z,None,0
2066,558,2024-04-25T20:31:10Z,2024-04-25T20:37:03Z,206.149.22.238,CN,SSH,200,22,10.138.69.97,None,Normal Traffic,AWS_VPC_Flow,prod_webserver,2024-04-25T20:31:10Z,None,0
